Date,Open,High,Low,Close,Adj Close,Volume
2016-08-29,82.510002,83.349998,80.570000,81.690002,75.936241,16303000
2016-09-05,82.010002,83.959999,80.760002,80.790001,75.099640,15775700
2016-09-12,80.269997,82.349998,79.930000,82.050003,76.270882,24391000
2016-09-19,82.180000,84.449997,81.349998,82.440002,76.633415,18343500
2016-09-26,82.199997,88.980003,81.669998,88.769997,82.517555,34129000
2016-10-03,88.230003,89.870003,87.180000,88.470001,82.238693,21788500
2016-10-10,89.099998,89.500000,86.260002,87.669998,81.495041,23475500
2016-10-17,87.379997,88.279999,85.360001,86.330002,80.249428,22281700
2016-10-24,86.120003,87.650002,82.709999,83.879997,78.660271,33295000
2016-10-31,84.190002,84.379997,80.330002,82.309998,77.187965,24652400
2016-11-07,83.739998,94.949997,82.970001,93.010002,87.222122,48005900
2016-11-14,93.250000,95.500000,91.900002,92.339996,86.593811,24104100
2016-11-21,93.129997,96.440002,92.779999,95.809998,89.847878,15498800
2016-11-28,95.510002,97.389999,93.629997,95.139999,89.219574,27763800
2016-12-05,95.870003,97.400002,94.070000,95.529999,89.585320,23956300
2016-12-12,96.010002,96.650002,92.529999,92.580002,86.818893,24456000
2016-12-19,91.930000,94.830002,91.000000,94.320000,88.450600,15067800
2016-12-26,94.339996,94.900002,92.330002,92.739998,86.968925,10291700
2017-01-02,94.000000,95.190002,92.410004,93.040001,87.250259,17548900
2017-01-09,92.930000,94.750000,92.199997,94.480003,88.600662,16500500
2017-01-16,94.239998,95.000000,92.529999,94.580002,88.694427,17047500
2017-01-23,94.599998,99.459999,93.559998,98.989998,93.600243,32049700
2017-01-30,98.400002,98.589996,92.809998,93.279999,88.201141,23014400
2017-02-06,92.809998,96.620003,92.110001,96.309998,91.066154,23294900
2017-02-13,97.690002,99.070000,97.160004,98.849998,93.467873,22349700
2017-02-20,98.870003,99.199997,93.500000,95.480003,90.281357,17990700
2017-02-27,95.480003,98.970001,92.839996,95.120003,89.940956,46184100
2017-03-06,94.320000,96.230003,90.410004,92.309998,87.283951,35189500
2017-03-13,93.330002,94.089996,90.620003,92.910004,87.851280,27451100
2017-03-20,93.129997,95.480003,91.559998,92.150002,87.132652,25492300
2017-03-27,90.900002,93.370003,90.339996,92.760002,87.709450,17498700
2017-04-03,92.430000,96.730003,91.000000,95.519997,90.319176,25430000
2017-04-10,96.309998,97.889999,93.089996,93.099998,88.030937,18898600
2017-04-17,93.690002,95.970001,92.980003,94.320000,89.184509,21561100
2017-04-24,95.839996,105.980003,95.800003,102.260002,97.495361,45710700
2017-05-01,102.650002,102.989998,98.639999,99.639999,94.997437,24665300
2017-05-08,99.480003,101.919998,98.940002,100.709999,96.017578,28865600
2017-05-15,101.589996,102.860001,97.739998,102.430000,97.657448,22058500
2017-05-22,102.669998,105.940002,101.809998,105.660004,100.736946,20988500
2017-05-29,105.260002,106.760002,103.599998,105.949997,101.013443,15257200
2017-06-05,105.580002,107.169998,102.449997,105.919998,100.984825,21762600
2017-06-12,105.919998,107.910004,103.800003,107.599998,102.586548,25114800
2017-06-19,107.949997,108.180000,102.300003,104.110001,99.259171,31678100
2017-06-26,104.660004,108.040001,103.440002,107.459999,102.453079,18608800
2017-07-03,106.510002,107.889999,105.849998,106.919998,101.938240,11578100
2017-07-10,106.730003,110.000000,106.239998,108.769997,103.702026,16654300
2017-07-17,108.000000,109.379997,105.110001,106.589996,101.623604,17829600
2017-07-24,107.860001,114.900002,107.290001,114.099998,109.568924,36274200
2017-07-31,114.500000,114.660004,112.089996,114.349998,109.808998,16062300
2017-08-07,114.480003,115.459999,112.750000,112.849998,108.368561,13357700
2017-08-14,113.459999,114.639999,112.690002,113.919998,109.396065,13795100
2017-08-21,113.750000,116.639999,113.269997,115.349998,110.769272,14609500
2017-08-28,115.760002,118.830002,114.300003,118.279999,113.582924,16117600
2017-09-04,118.139999,119.190002,116.500000,117.820000,113.141190,14176500
2017-09-11,118.820000,121.570000,117.470001,121.370003,116.550224,19128700
2017-09-18,123.620003,125.419998,122.849998,124.430000,119.488708,15782700
2017-09-25,124.370003,125.550003,123.620003,124.709999,119.757576,12052300
2017-10-02,124.400002,127.089996,123.949997,126.930000,121.889435,12654600
2017-10-09,126.919998,131.410004,125.940002,130.710007,125.519318,15422200
2017-10-16,131.250000,132.119995,129.399994,131.360001,126.143509,15730300
2017-10-23,131.949997,140.440002,131.160004,137.809998,133.126694,41684800
2017-10-30,137.300003,137.809998,135.080002,136.630005,131.986832,15489800
2017-11-06,136.800003,138.899994,134.649994,136.479996,131.841919,12889600
2017-11-13,135.529999,138.119995,133.809998,136.130005,131.503799,13807200
2017-11-20,136.440002,138.419998,136.250000,137.389999,132.720963,10177300
2017-11-27,137.470001,142.399994,136.889999,141.520004,136.710632,21265700
2017-12-04,144.250000,145.190002,139.190002,143.860001,138.971115,17155000
2017-12-11,144.630005,149.050003,143.210007,146.690002,141.704926,24345700
2017-12-18,147.750000,155.800003,146.800003,155.750000,150.457031,16668700
2017-12-25,156.039993,158.649994,155.660004,157.580002,152.224854,11071200
2018-01-01,158.300003,162.050003,155.399994,161.960007,156.456009,18065700
2018-01-08,164.110001,170.669998,162.550003,170.300003,164.512573,24257600
2018-01-15,172.899994,173.240005,167.570007,170.410004,164.618851,24556000
2018-01-22,170.320007,173.100006,162.460007,167.059998,162.131729,42800800
2018-01-29,165.580002,165.880005,156.529999,157.490005,152.844055,37132000
2018-02-05,154.929993,158.929993,142.850006,149.210007,144.808304,51085700
2018-02-12,151.869995,161.000000,150.250000,156.289993,151.679443,27735100
2018-02-19,155.169998,162.479996,154.270004,162.410004,157.618912,18448100
2018-02-26,163.050003,164.600006,145.860001,146.380005,142.061813,36624900
2018-03-05,145.149994,158.419998,144.009995,158.250000,153.581650,28421300
2018-03-12,158.240005,159.339996,151.309998,156.460007,151.844437,30739500
2018-03-19,154.240005,157.279999,143.789993,144.289993,140.033447,27682900
2018-03-26,147.820007,151.119995,143.630005,147.380005,143.032303,19513500
2018-04-02,146.440002,148.880005,138.050003,142.990005,138.771820,26723600
2018-04-09,144.800003,152.910004,142.800003,150.229996,145.798233,18822500
2018-04-16,151.740005,157.119995,150.279999,153.250000,148.729126,18030900
2018-04-23,154.649994,161.100006,142.160004,144.720001,141.157928,49855800
2018-04-30,145.210007,147.190002,138.149994,146.369995,142.767303,26788400
2018-05-07,148.179993,156.740005,148.000000,154.860001,151.048325,22785300
2018-05-14,155.610001,156.839996,151.710007,155.710007,151.877441,17159600
2018-05-21,159.259995,161.600006,153.720001,155.850006,152.013962,18606800
2018-05-28,154.259995,155.979996,151.500000,153.520004,149.741318,13785500
2018-06-04,154.789993,157.929993,152.020004,155.320007,151.497040,15480000
2018-06-11,155.190002,159.190002,148.429993,150.020004,146.327469,22363300
2018-06-18,148.419998,149.460007,139.119995,139.940002,136.495575,25601500
2018-06-25,138.860001,139.460007,132.679993,135.669998,132.330673,24352300
2018-07-02,133.800003,137.350006,133.199997,135.410004,132.077072,11555900
2018-07-09,136.220001,141.860001,135.839996,140.750000,137.285660,21645200
2018-07-16,140.880005,141.500000,136.529999,136.820007,133.452377,20247600
2018-07-23,136.619995,143.949997,135.600006,142.559998,139.903671,23683800
2018-07-30,145.710007,146.699997,135.690002,138.509995,135.929138,35600000
2018-08-06,138.520004,143.320007,134.729996,135.919998,133.387390,20978900
2018-08-13,135.919998,140.210007,129.429993,139.339996,136.743668,25172100
2018-08-20,139.820007,140.960007,136.419998,138.210007,135.634750,15012700
2018-08-27,139.399994,143.770004,138.380005,138.850006,136.262817,20700300
2018-09-03,137.860001,142.139999,136.929993,141.320007,138.686798,17296500
2018-09-10,141.770004,147.199997,140.369995,144.899994,142.200073,19653200
2018-09-17,144.850006,157.720001,144.550003,156.380005,153.466171,27029800
2018-09-24,156.000000,156.100006,150.559998,152.490005,149.648651,16669200
2018-10-01,153.610001,159.369995,151.500000,153.309998,150.453369,23209500
2018-10-08,151.949997,153.660004,139.750000,142.070007,139.422806,31083900
2018-10-15,142.000000,143.889999,131.270004,131.320007,128.873108,29427900
2018-10-22,132.679993,133.130005,112.250000,115.050003,113.625847,71665700
2018-10-29,116.879997,128.300003,112.059998,125.790001,124.232895,44291300
2018-11-05,126.089996,135.220001,124.550003,126.910004,125.339035,30642100
2018-11-12,127.180000,131.919998,123.129997,129.960007,128.351273,28979500
2018-11-19,129.149994,129.490005,121.230003,122.320000,120.805847,21021400
2018-11-26,123.650002,135.970001,122.389999,135.669998,133.990585,27949000
2018-12-03,141.880005,142.410004,122.750000,123.550003,122.020622,30488100
2018-12-10,122.410004,129.110001,121.160004,126.769997,125.200752,24992300
2018-12-17,126.800003,128.949997,119.570000,120.070000,118.583694,35054300
2018-12-24,118.169998,128.250000,116.089996,125.610001,124.055115,16492800
2018-12-31,126.599998,128.589996,120.440002,128.149994,126.563675,19860800
2019-01-07,128.589996,133.119995,126.699997,132.100006,130.464783,20048700
2019-01-14,130.309998,137.720001,129.130005,136.600006,134.909088,24344200
2019-01-21,134.929993,136.889999,130.149994,136.860001,136.035431,18673300
2019-01-28,126.989998,133.860001,123.150002,130.910004,130.121277,45443800
2019-02-04,130.880005,132.100006,126.550003,128.600006,127.825195,18071500
2019-02-11,128.949997,136.250000,128.690002,136.199997,135.379395,18438300
2019-02-18,135.350006,140.979996,135.000000,138.679993,137.844452,17616400
2019-02-25,140.990005,142.550003,135.270004,137.470001,136.641754,22995700
2019-03-04,138.800003,139.770004,130.229996,131.350006,130.558624,19394400
2019-03-11,131.910004,134.529999,131.600006,132.669998,131.870667,23200900
2019-03-18,132.699997,135.710007,129.490005,129.770004,128.988144,19314900
2019-03-25,129.589996,136.279999,129.229996,135.490005,134.673691,15385100
2019-04-01,137.690002,141.149994,136.320007,140.360001,139.514343,18233500
2019-04-08,140.000000,141.919998,136.070007,141.199997,140.349274,16270300
2019-04-15,141.669998,144.770004,139.589996,143.360001,142.496262,13676900
2019-04-22,142.949997,143.179993,134.089996,139.029999,139.029999,28476300
2019-04-29,139.500000,140.449997,137.580002,139.419998,139.419998,7236300
